symbol,pnl,ret_pct,exit_reason,confirmed,tier,r72_pct,r24_pct,r6_pct,vr,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h
SPELL/USDT,4595.66,14.82,pump_lock_2pct,False,B,39.0,45.0,42.0,34.3,0.0,36610126.89,14.88,14.88,14.88,14.88,25.56,25.56,-0.32,-0.32
SPELL/USDT,-3034.56,-9.27,pump_initial_stop,False,B,60.0,66.0,58.0,71.4,0.0,32445928.25,-9.24,-9.24,-9.24,-9.24,1.19,1.19,-10.18,-10.18
CTSI/USDT,-1642.82,-6.07,pump_probe_kill,False,B,21.0,19.0,25.0,9.1,0.37,71530.43,-5.04,-6.13,-6.08,-4.93,0.5,0.5,-5.23,-7.22
SPELL/USDT,1233.07,4.42,pump_lock_2pct,False,B,43.0,51.0,40.0,55.9,0.0,32579261.32,5.88,12.33,9.21,4.5,7.87,21.34,-0.58,-1.84
AMP/USDT,2906.96,5.4,pump_breakeven,True,B,34.0,31.0,18.0,5.1,0.01,10435463.88,-0.92,2.44,0.93,-2.3,1.59,7.54,-3.28,-3.28
WOO/USDT,-2248.09,-2.34,pump_stagnation_exit,True,B,10.0,20.0,12.0,4.7,0.48,183620.49,-1.32,-3.05,-1.11,-1.38,0.43,0.43,-1.47,-3.38
JASMY/USDT,-1422.94,-1.39,pump_stagnation_exit,True,B,14.0,24.0,29.0,2.4,0.02,5374449.33,-2.31,-2.56,0.22,-1.98,1.29,3.58,-5.96,-5.96
GLM/USDT,-2816.05,-2.95,pump_stagnation_exit,True,B,7.0,18.0,12.0,7.8,0.38,231958.62,-0.23,2.95,0.13,1.55,0.77,7.29,-1.58,-1.58
PIXEL/USDT,-2041.15,-7.84,pump_3h_down,False,B,18.0,22.0,13.0,2.6,0.64,39836.31,-5.9,-5.95,-7.81,-7.81,-0.05,-0.05,-6.01,-9.82
THETA/USDT,-694.91,-2.03,pump_stagnation_exit,False,B,44.0,27.0,24.0,3.0,1.71,18248.4,-4.9,-4.84,-3.26,-1.28,1.41,1.41,-6.13,-6.13
PEPE/USDT,6220.45,12.25,pump_lock_2pct,False,A,50.0,30.0,15.0,3.5,0.0,29022747865.21,1.63,-1.73,2.76,12.3,2.76,13.99,-2.3,-2.3
THETA/USDT,-2809.69,-4.93,pump_lock_2pct,False,A,74.0,40.0,24.0,3.7,2.09,26231.19,1.1,1.34,0.52,2.2,5.31,5.31,-0.86,-1.01
PEPE/USDT,-891.27,-6.95,pump_probe_kill,False,B,149.0,47.0,14.0,2.6,0.0,3886907413.55,-5.34,-5.65,0.57,-1.3,0.57,5.24,-10.95,-13.44
PEOPLE/USDT,2552.21,5.14,pump_lock_2pct,False,A,55.0,36.0,38.0,9.8,0.05,1144070.13,0.13,2.6,2.98,5.99,2.96,8.66,-1.55,-1.55
PEPE/USDT,-2047.58,-3.94,pump_probe_kill,False,A,71.0,43.0,31.0,4.7,0.0,11887942423.47,-2.21,-1.25,0.67,-1.25,1.15,3.55,-5.58,-5.58
FLOKI/USDT,39066.82,44.93,pump_trailing_stop,True,B,66.0,65.0,23.0,8.0,0.0,961246170.07,-0.53,3.95,2.93,3.98,3.11,6.26,-2.06,-2.67
QUICK/USDT,-1235.55,-4.48,pump_stagnation_exit,False,B,60.0,56.0,46.0,57.7,0.1,263181.05,-4.61,-5.28,-3.67,1.02,2.01,4.03,-7.0,-8.43
QTUM/USDT,4819.58,7.96,pump_lock_2pct,False,A,51.0,40.0,32.0,14.7,5.58,11140.96,4.15,0.06,-0.07,7.98,7.21,12.95,-1.39,-3.38
QTUM/USDT,-4064.81,-10.48,pump_initial_stop,False,B,58.0,48.0,28.0,29.2,6.09,6250.47,-5.35,-5.42,-4.97,-10.46,-0.03,-0.03,-5.93,-10.83
COTI/USDT,-17438.84,-26.16,pump_time_exit,True,B,94.0,52.0,40.0,2.8,0.18,298083.08,-0.29,5.54,3.73,7.12,4.43,10.18,-4.06,-4.06
RSR/USDT,2174.32,6.44,pump_lock_2pct,False,B,41.0,48.0,16.0,4.2,0.01,5912909.27,6.57,6.57,6.57,6.57,13.18,13.18,-0.07,-0.07
NEAR/USDT,2497.32,8.8,pump_lock_2pct,False,B,23.0,40.0,23.0,4.1,5.38,5403.77,-0.68,8.83,8.83,8.83,0.67,10.71,-4.12,-4.12
NEAR/USDT,-1267.93,-4.01,pump_stagnation_exit,False,B,33.0,46.0,22.0,4.1,5.86,5149.37,-2.1,0.58,1.38,-1.07,0.09,5.7,-3.51,-3.51
RSR/USDT,-4609.6,-3.59,pump_lock_2pct,True,A,53.0,54.0,19.0,4.9,0.01,18685074.29,4.61,4.16,4.34,3.91,7.76,7.76,-1.15,-1.15
ANKR/USDT,-1099.08,-3.63,pump_breakeven,False,B,26.0,31.0,23.0,7.1,0.05,551286.39,-3.58,-3.58,-3.58,-3.58,8.84,8.84,-6.26,-6.26
AI/USDT,-864.79,-3.63,pump_stagnation_exit,False,B,28.0,44.0,18.0,2.7,2.18,10366.46,-5.19,-2.53,-1.1,-4.09,1.33,1.33,-7.8,-7.8
NFP/USDT,-908.0,-2.98,pump_3h_down,False,B,12.0,31.0,13.0,3.1,0.93,30749.0,4.12,-0.07,-0.87,-2.99,4.27,4.27,-1.11,-3.19
ANKR/USDT,-2515.88,-8.61,pump_3h_down,False,B,34.0,35.0,26.0,14.0,0.06,513455.3,-4.14,-8.02,-8.6,-8.6,1.64,1.64,-5.06,-11.56
RAY/USDT,1894.45,6.94,pump_lock_2pct,False,B,29.0,27.0,16.0,3.3,1.49,18873.77,-0.28,6.98,6.98,6.98,0.8,11.26,-4.47,-4.47
JTO/USDT,-1441.57,-4.94,pump_3h_down,False,B,4.0,21.0,11.0,2.5,3.07,9154.39,-1.64,-2.29,-4.9,-4.9,0.05,0.05,-4.16,-5.45
RAY/USDT,-2984.95,-8.6,pump_3h_down,False,B,37.0,34.0,23.0,5.8,1.59,21293.8,-3.54,-4.38,0.08,-2.27,0.9,1.56,-7.34,-7.34
FIDA/USDT,-1030.08,-3.49,pump_probe_kill,False,B,24.0,24.0,16.0,9.1,0.5,56414.11,0.41,0.6,-2.43,-5.34,3.24,3.24,-0.74,-5.52
DEXE/USDT,8626.84,15.93,pump_lock_2pct,False,A,54.0,38.0,20.0,5.5,10.23,5368.69,1.74,15.9,15.9,15.9,4.55,19.8,-0.39,-0.39
ACH/USDT,-1880.25,-6.65,pump_3h_down,False,B,20.0,24.0,15.0,8.2,0.04,782845.02,-2.56,-3.3,-2.7,-3.95,0.55,0.55,-2.67,-4.69
DEXE/USDT,-2045.4,-6.22,pump_probe_kill,False,A,83.0,60.0,36.0,8.0,11.87,2686.04,-2.03,-3.42,2.35,-7.44,2.82,2.82,-7.2,-9.4
SANTOS/USDT,1573.46,5.77,pump_lock_2pct,False,B,25.0,24.0,24.0,8.6,8.37,3375.4,5.75,5.75,5.75,5.75,17.7,17.7,-0.36,-0.36
YGG/USDT,-1486.92,-4.15,pump_lock_2pct,False,B,42.0,30.0,22.0,7.7,0.84,40658.56,-4.09,-4.09,-4.09,-4.09,10.25,10.25,-6.08,-6.08
WLD/USDT,-105.98,0.11,pump_stagnation_exit,True,A,57.0,43.0,16.0,3.4,10.57,10781.49,0.5,1.95,-2.11,-1.27,1.26,3.2,-2.75,-4.84
IQ/USDT,2698.4,2.57,pump_stagnation_exit,True,B,42.0,29.0,17.0,13.1,0.01,9309463.26,-1.39,0.14,0.47,0.64,0.07,4.36,-3.41,-3.41
IQ/USDT,16009.84,28.15,pump_lock_2pct,False,A,57.0,58.0,21.0,2.4,0.01,3865946.84,-3.97,-1.34,28.12,28.12,3.85,32.51,-4.45,-8.3
NMR/USDT,-5511.45,-4.59,pump_stagnation_exit,True,B,36.0,33.0,24.0,6.7,52.35,2190.41,2.53,-5.69,-3.43,-0.76,3.35,3.71,-0.91,-6.01
POWR/USDT,-1582.11,-5.04,pump_probe_kill,False,B,27.0,24.0,19.0,14.5,0.49,61722.06,6.89,0.38,-0.32,-4.99,7.71,7.71,-1.03,-5.38
CELO/USDT,-2094.68,-5.62,pump_3h_down,False,B,47.0,46.0,44.0,22.6,1.69,21302.87,-1.04,-1.2,-5.6,-5.6,7.37,7.37,-3.45,-6.63
CELO/USDT,-375.21,-0.85,pump_breakeven,False,B,45.0,43.0,33.0,39.1,1.66,21474.13,3.09,2.79,1.48,4.55,4.1,6.14,-0.05,-0.05
GLMR/USDT,-4042.91,-3.75,pump_time_exit,True,B,33.0,28.0,14.0,3.7,0.66,151235.65,-1.13,0.28,0.93,2.33,7.04,7.04,-1.14,-3.46
AMP/USDT,7345.62,15.68,pump_lock_2pct,False,A,53.0,56.0,16.0,9.3,0.01,6038108.54,0.53,15.8,15.8,15.8,5.57,26.74,-2.83,-2.83
AMP/USDT,10466.32,22.46,pump_lock_2pct,False,A,77.0,79.0,40.0,5.6,0.01,5164484.12,3.11,22.53,22.53,22.53,3.11,31.56,-5.58,-5.58
ZIL/USDT,-2825.54,-8.72,pump_3h_down,False,B,25.0,21.0,19.0,4.9,0.04,712134.06,-2.88,-5.04,-4.09,-7.22,0.96,0.96,-4.86,-8.0
SSV/USDT,386.36,0.56,pump_lock_2pct,True,B,35.0,25.0,23.0,2.6,50.64,2086.73,1.61,3.09,3.27,6.53,4.61,7.14,-1.27,-1.27
RAY/USDT,-2323.3,-14.5,pump_3h_down,False,B,94.0,87.0,40.0,3.7,2.63,6021.88,-4.09,-3.88,-6.08,-14.52,1.58,1.58,-6.42,-17.48
FIDA/USDT,-3113.42,-10.39,pump_3h_down,False,B,26.0,41.0,16.0,3.1,0.69,42852.99,-5.36,-3.03,-5.77,-10.36,2.21,2.21,-6.97,-12.13
PHA/USDT,-2430.46,-6.84,pump_3h_down,False,A,47.0,52.0,14.0,3.8,0.31,113123.51,0.7,-0.97,-1.65,0.28,6.4,6.4,-0.74,-2.67
RLC/USDT,-3214.26,-2.95,pump_stagnation_exit,True,B,2.0,20.0,16.0,7.3,4.16,24494.76,-0.12,-0.99,1.32,1.2,0.84,2.45,-1.28,-1.28
MASK/USDT,-1361.45,-4.39,pump_probe_kill,False,B,18.0,25.0,17.0,8.6,5.35,5540.87,0.62,0.6,1.43,-3.47,3.65,3.65,-0.95,-5.05
POLYX/USDT,2362.06,9.01,pump_lock_2pct,False,B,29.0,45.0,11.0,1.9,0.3,89933.14,0.45,9.0,9.0,9.0,1.86,13.22,-0.75,-2.09
STX/USDT,-1067.12,-0.88,pump_stagnation_exit,True,B,22.0,23.0,13.0,2.0,3.39,28969.35,1.51,0.04,0.83,1.14,4.65,4.65,-0.82,-1.17
AXL/USDT,-682.92,-2.75,pump_3h_down,False,B,9.0,30.0,17.0,8.6,2.11,10970.94,-1.64,-1.8,-2.67,-2.67,0.35,1.62,-2.25,-3.86
DUSK/USDT,1786.02,7.99,pump_lock_2pct,False,B,23.0,40.0,13.0,3.8,0.41,56463.91,2.68,1.99,5.06,6.54,3.74,8.06,-0.35,-0.35
RSR/USDT,945.55,2.62,pump_lock_2pct,False,A,49.0,47.0,21.0,5.9,0.01,4752616.88,-0.01,4.08,8.26,10.24,2.74,11.64,-2.16,-2.16
DEXE/USDT,-1414.79,-5.75,pump_3h_down,False,B,36.0,24.0,13.0,3.6,13.63,1745.12,-3.19,-3.69,-5.72,-5.72,1.5,1.5,-7.28,-7.45
XEC/USDT,1582.24,6.98,pump_breakeven,False,B,26.0,25.0,16.0,5.9,0.0,384829591.16,-2.14,7.07,7.07,7.07,0.03,8.19,-3.74,-3.74
XEC/USDT,-34.86,0.05,pump_stagnation_exit,False,B,40.0,31.0,23.0,16.7,0.0,366665910.74,-0.34,0.98,3.3,2.7,4.15,6.75,-2.11,-2.11
WIF/USDT,-238.9,-0.8,pump_stagnation_exit,False,B,20.0,20.0,15.0,2.4,2.8,8513.65,-0.16,0.78,-2.54,-1.29,1.98,1.98,-0.75,-3.46
ICP/USDT,-18.04,0.12,pump_stagnation_exit,False,B,27.0,23.0,11.0,3.4,16.95,1401.59,-0.93,-0.49,-2.88,-0.56,0.46,0.46,-3.07,-3.29
POLYX/USDT,61188.09,51.11,pump_trailing_stop,True,B,39.0,62.0,22.0,1.9,0.33,335116.37,4.77,8.12,20.5,16.48,5.85,26.98,-0.26,-0.26
YGG/USDT,331.23,0.61,pump_lock_2pct,True,A,51.0,29.0,16.0,4.9,1.21,65260.92,1.94,3.35,7.23,5.0,5.29,8.93,-1.09,-1.09
CVC/USDT,-1292.24,-4.74,pump_3h_down,False,B,99.0,82.0,75.0,76.6,0.28,92080.98,-2.51,-2.76,-4.79,-4.79,0.09,0.09,-5.14,-7.57
CVC/USDT,1969.69,9.33,pump_lock_2pct,False,B,91.0,71.0,57.0,60.6,0.27,79590.79,4.48,4.41,9.53,9.53,7.94,10.82,-1.12,-1.12
ANKR/USDT,2992.7,8.31,pump_lock_2pct,False,B,31.0,28.0,10.0,2.0,0.06,644828.57,8.4,8.4,8.4,8.4,14.08,14.08,-1.52,-1.52
ANKR/USDT,-2534.42,-6.51,pump_3h_down,False,B,43.0,38.0,16.0,5.2,0.06,609207.9,2.35,2.62,-1.52,-1.87,4.98,5.25,-1.11,-2.6
T/USDT,-3307.49,-8.73,pump_3h_down,False,B,42.0,38.0,22.0,7.5,0.05,711369.79,2.96,-0.65,-5.64,-8.67,4.42,6.96,-2.41,-8.75
POLYX/USDT,-7754.24,-5.4,pump_lock_2pct,True,B,26.0,43.0,32.0,4.6,0.54,241368.13,2.53,2.21,6.45,7.63,4.24,9.73,-1.98,-1.98
ARPA/USDT,-3245.44,-8.42,pump_3h_down,False,B,23.0,28.0,15.0,4.8,0.11,335881.06,-1.92,-5.91,-8.36,-8.36,3.48,3.48,-4.23,-9.23
TFUEL/USDT,-1092.92,-4.9,pump_3h_down,False,B,23.0,27.0,23.0,164.1,0.1,204787.48,-3.8,-1.9,-3.28,-4.86,5.9,5.9,-5.38,-7.38
JTO/USDT,-944.11,-0.53,pump_lock_2pct,True,B,31.0,28.0,20.0,7.3,4.09,30306.86,6.18,3.22,6.5,6.05,7.04,9.02,-1.46,-1.46
PENDLE/USDT,-5804.98,-4.25,pump_lock_2pct,True,B,8.0,19.0,13.0,2.5,5.74,21439.4,6.17,12.67,11.86,9.23,6.26,16.27,-0.07,-0.07
VIC/USDT,-2195.69,-5.99,pump_3h_down,False,B,18.0,21.0,14.0,19.2,1.09,32540.07,-2.98,-5.77,-4.7,-5.42,0.59,0.59,-3.5,-7.0
BEL/USDT,-1203.14,-3.26,pump_3h_down,False,B,31.0,28.0,26.0,5.9,2.01,17328.42,-2.26,-2.91,-3.3,-3.3,-0.0,-0.0,-2.52,-4.79
